,WELLNAME,X,Y,Z_top,Z_bottom,YEAR,TYPE,KB,TD
229,Well-48,50624.998415040056,85374.99811968887,7631.724121,7793.062012,2030,producer,0,10000
230,Well-49,38124.99841504005,70374.99764359128,7630.193604,7817.206543,2030,producer,0,10000
231,Well-50,40624.99889144244,70374.99764359128,7492.176147,7690.026733,2030,producer,0,10000
232,Well-51,39374.99865308885,71624.99788164007,7527.400757,7717.713745,2030,producer,0,10000
233,Well-52,38124.99841504005,72874.99752441447,7625.916626,7808.352539,2030,producer,0,10000
234,Well-53,40624.99889144244,72874.99752441447,7459.435425,7651.597534,2030,producer,0,10000
235,Well-54,39374.99865308885,74124.99776246327,7552.261963,7735.900146,2030,producer,0,10000
236,Well-55,38124.99841504005,75374.99859609125,7689.140991,7863.860107,2030,producer,0,10000
237,Well-56,40624.99889144244,75374.99859609125,7507.655151,7691.456543,2030,producer,0,10000
238,Well-57,43124.99817699126,80374.99716718889,7544.434692,7714.438599,2031,producer,0,10000
239,Well-58,45624.99865308885,80374.99716718889,7467.052002,7641.020996,2031,producer,0,10000
240,Well-59,44374.998415040056,81624.9974052377,7536.0448,7703.409058,2031,producer,0,10000
241,Well-60,43124.99817699126,82874.99764359127,7638.608521,7799.582397,2031,producer,0,10000
242,Well-61,45624.99865308885,82874.99764359127,7549.381348,7713.842163,2031,producer,0,10000
243,Well-62,44374.998415040056,84124.99669109129,7632.24707,7791.650146,2031,producer,0,10000
244,Well-63,43124.99817699126,85374.99811968887,7750.592773,7905.461426,2031,producer,0,10000
245,Well-64,45624.99865308885,85374.99811968887,7649.923828,7807.870361,2031,producer,0,10000
246,Well-65,43124.99817699126,65374.99788164007,7696.68811,7905.265991,2031,producer,0,10000
247,Well-66,45624.99865308885,65374.99788164007,7730.783936,7943.78125,2031,producer,0,10000
248,Well-67,44374.998415040056,66624.99811968885,7633.714355,7848.283081,2031,producer,0,10000
249,Well-68,43124.99817699126,67874.99776246327,7556.361328,7767.485962,2031,producer,0,10000
250,Well-69,45624.99865308885,67874.99776246327,7591.49939,7808.621948,2031,producer,0,10000
251,Well-70,44374.998415040056,69124.99740523768,7494.113281,7707.362549,2031,producer,0,10000
252,Well-71,43124.99817699126,70374.99764359128,7432.269531,7639.12561,2031,producer,0,10000
253,Well-72,45624.99865308885,70374.99764359128,7472.898438,7683.521484,2031,producer,0,10000
254,Well-73,48124.99912949123,65374.99788164007,7846.61792,8055.401489,2032,producer,0,10000
255,Well-74,50624.998415040056,65374.99788164007,7974.12793,8173.470947,2032,producer,0,10000
256,Well-75,49374.99817699126,66624.99811968885,7859.448486,8067.043701,2032,producer,0,10000
257,Well-76,48124.99912949123,67874.99776246327,7722.118408,7935.411499,2032,producer,0,10000
258,Well-77,50624.998415040056,67874.99776246327,7896.335083,8099.102661,2032,producer,0,10000
259,Well-78,49374.99817699126,69124.99740523768,7765.338501,7971.552124,2032,producer,0,10000
260,Well-79,48124.99912949123,70374.99764359128,7635.976929,7841.609985,2032,producer,0,10000
261,Well-80,50624.998415040056,70374.99764359128,7844.713013,8041.689087,2032,producer,0,10000
262,Well-81,63124.99722449129,85374.99811968887,7931.694336,8110.031372,2032,producer,0,10000
263,Well-82,65624.99889113764,85374.99811968887,8028.010498,8200.247559,2032,producer,0,10000
264,Well-83,64374.99865308885,86624.99716718889,7934.474121,8107.180908,2032,producer,0,10000
265,Well-84,63124.99722449129,87874.99621468893,7882.817505,8053.641968,2032,producer,0,10000
266,Well-85,65624.99889113764,87874.99621468893,7976.529663,8142.693115,2032,producer,0,10000
267,Well-86,64374.99865308885,89124.99764359127,7917.002197,8082.534302,2032,producer,0,10000
268,Well-87,63124.99722449129,90374.99669109129,7898.557739,8062.645142,2032,producer,0,10000
269,Well-88,65624.99889113764,90374.99669109129,7991.975464,8151.562866,2032,producer,0,10000
270,Well-89,58124.99865308885,87874.99621468893,7823.19043,7994.375244,2033,producer,0,10000
271,Well-90,60624.99793894247,87874.99621468893,7857.517212,8029.55835,2033,producer,0,10000
272,Well-91,59374.99770058888,89124.99764359127,7843.315674,8012.485596,2033,producer,0,10000
273,Well-92,58124.99865308885,90374.99669109129,7860.403687,8026.442139,2033,producer,0,10000
274,Well-93,60624.99793894247,90374.99669109129,7866.097656,8032.28479,2033,producer,0,10000
275,Well-94,59374.99770058888,91624.9969291401,7898.56958,8062.128662,2033,producer,0,10000
276,Well-95,58124.99865308885,92874.99716718889,7962.544189,8123.105591,2033,producer,0,10000
277,Well-96,60624.99793894247,92874.99716718889,7942.874512,8102.890625,2033,producer,0,10000
278,Well-97,53124.99770058888,87874.99621468893,7725.459473,7889.126953,2033,producer,0,10000
279,Well-98,55624.99817699126,87874.99621468893,7783.784668,7951.802612,2033,producer,0,10000
280,Well-99,54374.99912949123,89124.99764359127,7772.864014,7937.177612,2033,producer,0,10000
281,Well-100,53124.99770058888,90374.99669109129,7809.338379,7970.291504,2033,producer,0,10000
282,Well-101,55624.99817699126,90374.99669109129,7828.644653,7992.553711,2033,producer,0,10000
283,Well-102,53124.99770058888,92874.99716718889,7952.032471,8109.203247,2033,producer,0,10000
284,Well-103,55624.99817699126,92874.99716718889,7945.135132,8104.543945,2033,producer,0,10000
285,Well-104,54374.99912949123,94124.99621468893,8021.893433,8177.838867,2033,producer,0,10000
286,Well-105,46874.99770058888,71624.99788164007,7505.493042,7709.011719,2033,producer,0,10000
287,Well-106,44374.998415040056,71624.99788164007,7397.722412,7603.291748,2033,producer,0,10000
288,Well-107,48124.99912949123,87874.99621468893,7747.476563,7904.12146,2034,producer,0,10000
289,Well-108,50624.998415040056,87874.99621468893,7706.043457,7865.460327,2034,producer,0,10000
290,Well-109,49374.99817699126,89124.99764359127,7789.468628,7946.48352,2034,producer,0,10000
291,Well-110,48124.99912949123,90374.99669109129,7890.475342,8045.151123,2034,producer,0,10000
292,Well-111,50624.998415040056,90374.99669109129,7850.532837,8008.133057,2034,producer,0,10000
